Stock ticker,Stock name,Last price of stock,Stock change,Stock percentage change,Volume,Average volume over 3 months,Market cap,PE ratio
JWN,Nordstrom Inc.,17.68,+0.19,+1.09%,9969000,6142000,2825000000,6.96
PINS,Pinterest Inc.,22.07,-0.67,-2.95%,9961000,15717000,14863000000,73.57
MS,Morgan Stanley,86.4,+0.23,+0.27%,9771000,7691000,148334000000,11.68
FTCH,Farfetch Limited,9.37,-0.50,-5.07%,9881000,11330000,3573000000,N/A
SAN,Banco Santander S.A.,2.35,-0.0300,-1.26%,9878000,6909000,39628000000,4.70
BCS,Barclays PLC,7.72,+0.11,+1.45%,9448000,6475000,30071000000,5.59
VTRS,Viatris Inc.,9.45,-0.12,-1.25%,10152000,11115000,11459000000,15.00
MRVL,Marvell Technology Inc.,45.76,-0.21,-0.46%,10251000,9844000,38891000000,N/A
JPM,JPMorgan Chase & Co.,113.71,-0.80,-0.70%,10599000,12050000,333463000000,9.12
UAL,United Airlines Holdings Inc.,35.31,+0.13,+0.37%,9415000,10368000,11537000000,N/A
LI,Li Auto Inc.,26.58,-1.32,-4.73%,9115000,11870000,26308000000,2,658.00
HAL,Halliburton Company,30.01,+1.07,+3.70%,8927000,10817000,27217000000,18.87
LUMN,Lumen Technologies Inc.,9.85,-0.22,-2.18%,8780000,9878000,10198000000,5.08
ASX,ASE Technology Holding Co. Ltd.,5.51,-0.09,-1.61%,8919000,5923000,11801000000,6.05
RIVN,Rivian Automotive Inc.,32.07,+0.12,+0.38%,8870000,15348000,28331000000,N/A
TSM,Taiwan Semiconductor Manufacturing Company Limited,80.9,-0.74,-0.91%,8789000,11184000,415100000000,16.85
NKLA,Nikola Corporation,5.27,-0.05,-0.94%,8704000,10394000,2284000000,N/A
PYPL,PayPal Holdings Inc.,91.13,-1.53,-1.65%,8674000,14299000,105390000000,52.68
BMY,Bristol-Myers Squibb Company,68.61,-0.48,-0.69%,8635000,10345000,146500000000,22.79
DAL,Delta Air Lines Inc.,30.94,-0.15,-0.48%,8466000,12501000,19839000000,32.91
LULU,Lululemon Athletica Inc.,314.17,+19.72,+6.70%,8762000,1207000,40102000000,40.70
MO,Altria Group Inc.,45.0,-0.37,-0.82%,7869000,10542000,81037000000,45.92
DIS,The Walt Disney Company,111.2,-1.33,-1.18%,8302000,11439000,202724000000,63.54
TME,Tencent Music Entertainment Group,5.06,-0.08,-1.56%,8130000,12172000,8577000000,21.08
BHC,Bausch Health Companies Inc.,6.45,-0.14,-2.12%,8172000,7808000,2336000000,43.00
GSK,GSK plc,31.85,+0.16,+0.50%,8118000,6610000,65732000000,12.02
NFLX,Netflix Inc.,226.11,-3.93,-1.71%,8131000,9604000,100552000000,19.28
AMCR,Amcor plc,12.02,+0.02,+0.17%,7812000,9393000,17898000000,22.68
IS,ironSource Ltd.,3.84,-0.1600,-4.00%,7937000,17099000,3929000000,64.00
TWTR,Twitter Inc.,38.63,+0.01,+0.03%,7664000,14277000,29561000000,154.52
ROKU,Roku Inc.,65.99,-2.31,-3.38%,8064999,10039000,9102000000,55.92
TEVA,Teva Pharmaceutical Industries Limited,8.84,-0.09,-1.01%,7772000,14298000,9987000000,N/A
GFI,Gold Fields Limited,8.17,+0.39,+5.01%,7241000,7952000,7643000000,8.09
LYFT,Lyft Inc.,14.6,-0.07,-0.48%,7790000,12998000,5150000000,N/A
NKE,NIKE Inc.,105.74,-0.44,-0.42%,7695000,6876000,165860000000,28.20
HST,Host Hotels & Resorts Inc.,17.26,-0.11,-0.63%,7678000,7954000,12519000000,21.58
AES,The AES Corporation,26.15,+0.30,+1.16%,7311000,5378000,17466000000,N/A
APA,APA Corporation,38.8,+0.88,+2.32%,7531000,8132000,12669000000,4.37
CVX,Chevron Corporation,157.85,+2.31,+1.49%,7425000,9568000,308980000000,10.53
CRM,Salesforce Inc.,153.69,+0.16,+0.10%,7277000,6301000,153690000000,301.35
HBI,Hanesbrands Inc.,8.61,-0.05,-0.58%,7256000,6051000,3004000000,6.73
HOOD,Robinhood Markets Inc.,9.45,-0.18,-1.87%,7305000,15311000,7897000000,N/A
WBA,Walgreens Boots Alliance Inc.,35.27,+0.01,+0.03%,7260000,6522000,30482000000,5.98
MPW,Medical Properties Trust Inc.,14.32,-0.21,-1.45%,7102000,7403000,8577999999,7.16
PSTG,Pure Storage Inc.,29.16,+0.93,+3.29%,7129000,3158000,8632000000,N/A
UMC,United Microelectronics Corporation,6.5,-0.05,-0.76%,7046000,8703000,16451000000,6.91
DB,Deutsche Bank Aktiengesellschaft,8.27,+0.07,+0.85%,7037000,4657000,16734000000,7.19
EQNR,Equinor ASA,38.89,+1.19,+3.16%,7019000,3125000,124652000000,7.73
MRK,Merck & Co. Inc.,86.23,-0.92,-1.06%,6910000,9722000,218445000000,13.16
BEKE,KE Holdings Inc.,16.42,-0.93,-5.36%,6876000,12701000,20964000000,N/A
PG,The Procter & Gamble Company,137.16,-2.48,-1.78%,6778000,6883000,327195000000,23.61
GPS,The Gap Inc.,9.27,+0.03,+0.32%,6676000,8620000,3371000000,N/A
GLW,Corning Incorporated,33.15,-0.72,-2.13%,6672000,4555000,28022000000,14.17
PAYO,Payoneer Global Inc.,6.72,+0.04,+0.60%,6678000,3889000,2328000000,12.00
DXC,DXC Technology Company,27.48,+0.78,+2.92%,5601000,1780000,6317000000,12.61
COTY,Coty Inc.,7.53,+0.06,+0.80%,6378000,6870000,6318000000,107.57
TAL,TAL Education Group,5.5,-0.26,-4.51%,6421000,8266000,3569000000,N/A
