Stock ticker,Stock name,Last price of stock,Stock change,Stock percentage change,Volume,Average volume over 3 months,Market cap,PE ratio
AMD,Advanced Micro Devices Inc.,80.24,-2.09,-2.54%,84924000,84344000,129532999999,35.19
AAPL,Apple Inc.,155.81,-2.15,-1.36%,76310000,73365000,2504000000000,25.75
NVDA,NVIDIA Corporation,136.47,-2.90,-2.08%,74203000,52884000,340083000000,36.60
F,Ford Motor Company,15.16,-0.03,-0.20%,64117999,60936000,60947000000,5.26
AMZN,Amazon.com Inc.,127.51,-0.31,-0.24%,57430000,64506000,1299000000000,113.85
TSLA,Tesla Inc.,270.21,-6.95,-2.51%,49863000,83703000,846695000000,96.85
SNAP,Snap Inc.,11.22,-0.42,-3.61%,45190000,54759000,18501000000,N/A
NIO,NIO Inc.,17.73,-1.06,-5.64%,43582000,50948000,29659000000,N/A
BAC,Bank of America Corporation,33.43,-0.04,-0.12%,43849000,41441000,268618000000,10.45
CCL,Carnival Corporation & plc,9.37,+0.02,+0.21%,39251000,55062000,12018000000,N/A
ITUB,Itaú Unibanco Holding S.A.,5.07,+0.10,+2.01%,38543000,43607000,45768000000,9.75
INTC,Intel Corporation,31.22,-0.54,-1.70%,34893000,38974000,128189000000,6.70
NOK,Nokia Oyj,4.93,-0.0500,-1.00%,34357000,28586000,27806000000,17.00
T,AT&T Inc.,17.19,-0.31,-1.77%,35769000,36963000,122496000000,7.61
VALE,Vale S.A.,12.17,+0.02,+0.16%,33614000,32650000,58646000000,3.03
SHOP,Shopify Inc.,30.11,-1.16,-3.71%,31342000,33223000,38191000000,231.62
SOFI,SoFi Technologies Inc.,5.74,-0.11,-1.88%,29740000,39802000,4590000000,N/A
AUR,Aurora Innovation Inc.,2.43,+0.3200,+15.17%,27693000,3867000,2804000000,N/A
SWN,Southwestern Energy Company,7.38,+0.15,+2.07%,29031000,42048000,8224000000,N/A
NU,Nu Holdings Ltd.,4.94,+0.0400,+0.82%,27410000,26058000,23101000000,N/A
AMC,AMC Entertainment Holdings Inc.,8.88,+0.30,+3.50%,27357000,45887000,4558000000,N/A
DNA,Ginkgo Bioworks Holdings Inc.,2.51,-0.2300,-8.39%,26437000,26112000,4474000000,N/A
PBR,Petróleo Brasileiro S.A. - Petrobras,14.44,0.00,0.00%,26298000,31455000,90301000000,3.03
AAL,American Airlines Group Inc.,12.99,+0.06,+0.46%,26865000,32909000,8441000000,N/A
PLTR,Palantir Technologies Inc.,7.4,-0.09,-1.20%,25713000,38025000,15275000000,N/A
BBD,Banco Bradesco S.A.,3.68,+0.0437,+1.20%,24210000,30886000,35928000000,8.18
GOOGL,Alphabet Inc.,107.85,-1.89,-1.72%,24078000,32188000,1412000000000,19.79
OXY,Occidental Petroleum Corporation,68.77,+0.37,+0.54%,22576000,27034000,64059000000,6.76
GRAB,Grab Holdings Limited,2.96,+0.0900,+3.14%,22493000,25986000,11365000000,N/A
MSFT,Microsoft Corporation,256.06,-4.34,-1.67%,22485000,25113000,1910000000000,26.53
NLY,Annaly Capital Management Inc.,6.38,0.00,0.00%,23422000,28919000,11001000000,2.55
ABEV,Ambev S.A.,2.93,+0.0500,+1.74%,21147000,33107999,47717000000,17.24
VZ,Verizon Communications Inc.,41.3,-0.51,-1.22%,21064000,19739000,173448000000,8.29
OKTA,Okta Inc.,64.63,+4.03,+6.65%,21050000,3383000,10268000000,N/A
GOOG,Alphabet Inc.,108.68,-1.87,-1.69%,20618000,26334000,1412000000000,20.13
META,Meta Platforms Inc.,160.32,-5.04,-3.05%,22596000,28396000,430868000000,12.63
CMCSA,Comcast Corporation,35.76,-1.14,-3.09%,20091000,22770000,157817000000,11.65
PCG,PG&E Corporation,12.55,+0.02,+0.16%,21180000,13481000,30941000000,125.50
NCLH,Norwegian Cruise Line Holdings Ltd.,13.05,+0.04,+0.31%,20374000,20937000,5499000000,N/A
WBD,Warner Bros. Discovery Inc.,13.06,-0.13,-0.99%,20627000,24274000,31704000000,7.22
PLUG,Plug Power Inc.,25.87,-1.07,-3.97%,18503000,22362000,14986000000,N/A
GOLD,Barrick Gold Corporation,14.9,+0.31,+2.12%,18825000,21534000,26372000000,13.19
XOM,Exxon Mobil Corporation,95.59,+1.72,+1.83%,17980000,23513000,398385000000,10.46
OPEN,Opendoor Technologies Inc.,4.1,-0.1800,-4.21%,18193000,17732000,2578000000,N/A
CDEV,Permian Resources Corporation,7.62,-0.61,-7.41%,17582000,9120000,2172000000,5.52
CS,Credit Suisse Group AG,5.12,+0.12,+2.40%,16959000,14982000,13274000000,N/A
SIRI,Sirius XM Holdings Inc.,6.07,-0.06,-0.98%,16925000,15706000,23638000000,19.58
PDD,Pinduoduo Inc.,72.19,+0.77,+1.08%,16754999,13462000,91276000000,46.57
PTON,Peloton Interactive Inc.,9.44,-0.84,-8.17%,16157000,14773000,3193000000,N/A
HPE,Hewlett Packard Enterprise Company,13.24,-0.13,-0.97%,15882000,10214000,17203000000,4.75
ET,Energy Transfer LP,11.75,+0.02,+0.17%,16215000,20212000,36272000000,9.40
DKNG,DraftKings Inc.,15.49,-0.47,-2.94%,16334000,19697000,6948000000,N/A
KGC,Kinross Gold Corporation,3.28,+0.1700,+5.47%,16370000,20951000,4271000000,21.87
RIG,Transocean Ltd.,3.56,+0.1600,+4.71%,15532000,19200000,2512000000,N/A
C,Citigroup Inc.,48.84,+0.09,+0.18%,15208000,19300000,94415000000,6.11
BTG,B2Gold Corp.,3.12,+0.1900,+6.48%,15000000,12216000,3326000000,8.67
CSCO,Cisco Systems Inc.,44.59,-0.70,-1.55%,14721000,20018000,184645000000,15.81
PFE,Pfizer Inc.,45.7,-0.93,-1.99%,14258000,18706000,256483999999,8.89
UBER,Uber Technologies Inc.,29.05,+0.13,+0.45%,14397000,29137000,57517000000,N/A
GGB,Gerdau S.A.,4.64,+0.1700,+3.80%,13936000,17136000,7188000000,2.52
KMI,Kinder Morgan Inc.,18.22,+0.05,+0.28%,14896000,15066000,41242000000,17.19
HBAN,Huntington Bancshares Incorporated,13.32,-0.05,-0.37%,13879000,11863000,19210000000,11.68
X,United States Steel Corporation,21.71,+0.23,+1.07%,13661000,12019000,5150000000,1.25
FCX,Freeport-McMoRan Inc.,28.3,+0.21,+0.75%,13365000,20054000,40448000000,8.58
LCID,Lucid Group Inc.,15.16,-0.22,-1.43%,13695000,16870000,25436000000,N/A
JBLU,JetBlue Airways Corporation,7.63,-0.07,-0.91%,13539000,10718000,2471000000,N/A
TELL,Tellurian Inc.,4.08,+0.2300,+5.97%,13716000,16886000,2305000000,N/A
AUY,Yamana Gold Inc.,4.45,+0.1900,+4.46%,13247000,17296000,4285000000,15.89
WFC,Wells Fargo & Company,43.38,-0.32,-0.73%,12973000,18545000,164543000000,10.40
MU,Micron Technology Inc.,56.33,-0.98,-1.71%,12810000,16835000,62140000000,6.42
MRO,Marathon Oil Corporation,25.71,+0.79,+3.17%,12283000,17143000,17421000000,6.09
CHPT,ChargePoint Holdings Inc.,14.5,-0.81,-5.29%,12347000,10007000,4916000000,N/A
XPEV,XPeng Inc.,16.74,-0.59,-3.40%,12311000,11246000,16152000000,N/A
SQ,Block Inc.,66.33,-2.42,-3.52%,11911000,15231000,39148000000,N/A
HPQ,HP Inc.,27.64,-0.53,-1.88%,12269000,8880000,28584000000,4.93
MMM,3M Company,121.65,-3.98,-3.17%,10851000,7510000,69292000000,16.99
RBLX,Roblox Corporation,37.94,-0.57,-1.48%,12073000,25868000,22641000000,N/A
CPG,Crescent Point Energy Corp.,7.45,+0.19,+2.62%,12079000,14056000,4227999999,3.39
PBR-A,Petróleo Brasileiro S.A. - Petrobras,12.89,0.00,0.00%,12314000,14634000,90301000000,2.71
M,Macy's Inc.,17.1,+0.04,+0.23%,12490000,12369000,4634000000,3.35
BP,BP p.l.c.,31.13,+0.54,+1.77%,11971000,11740000,98608000000,N/A
BABA,Alibaba Group Holding Limited,91.8,-1.91,-2.04%,12154000,26946000,243751000000,42.70
KO,The Coca-Cola Company,61.15,-0.85,-1.37%,11733000,13259000,264451000000,27.80
SLB,Schlumberger Limited,38.07,+1.22,+3.31%,11169000,13074000,53846000000,20.80
KSS,Kohl's Corporation,29.97,+1.60,+5.64%,11293000,5403000,3850000000,6.01
AZN,AstraZeneca PLC,60.69,-1.10,-1.78%,11242000,6517000,190048000000,N/A
ORCL,Oracle Corporation,74.68,-0.62,-0.82%,10874000,7336000,199017000000,30.99
ING,ING Groep N.V.,8.6,-0.02,-0.23%,10915000,5099000,32234000000,8.35
CSX,CSX Corporation,31.24,-0.37,-1.17%,10934000,14731000,66891999999,17.45
CLF,Cleveland-Cliffs Inc.,16.81,+0.20,+1.20%,10782000,15719000,8696000000,2.47
GM,General Motors Company,38.47,-0.09,-0.23%,10770000,14632000,56091000000,7.33
ELAN,Elanco Animal Health Incorporated,15.37,-0.01,-0.07%,10797000,5320000,7287000000,N/A
GSAT,Globalstar Inc.,2.04,+0.0400,+2.00%,10745000,5429000,3674000000,N/A
LYG,Lloyds Banking Group plc,1.96,+0.0100,+0.51%,10483000,11066000,33772000000,7.00
STLA,Stellantis N.V.,13.09,-0.18,-1.36%,10421000,5182000,41154000000,2.71
NEM,Newmont Corporation,41.67,+0.76,+1.86%,9694000,8822000,33073000000,44.33
SBUX,Starbucks Corporation,82.94,-2.46,-2.88%,10337000,6652000,97988000000,23.36
AFRM,Affirm Holdings Inc.,22.45,-0.71,-3.07%,10258000,14791000,6430000000,N/A
PARA,Paramount Global,23.12,-0.34,-1.45%,10100000,8873000,15123000000,4.75
